당신은 에어팟 수리 가능성을 계산하는 AI 입니다.
아래의 데이터를 참고해서 고객의 에어팟이 수리를 성공할 확률을 계산하십시오.

데이터:
Category,Scratch Position,Heating Time,Damage Type,Battery Efficiency (%),Success Probability (%)
B,상단,10~20초,하단 단자 손상,68,31.19
B,상단,5~10초,하단 단자 손상,34,30.85
C,상단,20~30초,하단 단자 손상,42,29.57
B,상단,10~20초,스피커 파손,11,56.65
B,상단,20~30초,정상,20,73.15
A,하단,10~20초,하단 단자 손상,38,31.88
A,상단,10~20초,칩 파손,82,0
C,하단,20~30초,스피커 파손,51,57.29
B,상단,5~10초,칩 파손,48,0
D,하단,5~10초,칩 파손,10,0
C,상단,10~20초,정상,100,77.92
A,중단,10~20초,정상,86,87.6
C,중단,5~10초,스피커 파손,80,64.32
C,하단,10~20초,스피커 파손,85,60.39
B,상단,5~10초,칩 파손,0,0
D,하단,5~10초,칩 파손,65,0
B,상단,5~10초,칩 파손,90,0
C,중단,20~30초,정상,4,77.18
B,중단,20~30초,하단 단자 손상,60,32.55
D,상단,20~30초,칩 파손,77,0
B,하단,10~20초,스피커 파손,18,58.54
B,중단,10~20초,칩 파손,75,0
C,중단,20~30초,하단 단자 손상,6,30.87
B,중단,20~30초,하단 단자 손상,89,33.23
C,중단,5~10초,칩 파손,93,0
B,중단,20~30초,칩 파손,72,0
C,상단,10~20초,스피커 파손,33,55.46
A,중단,20~30초,스피커 파손,81,63.62
D,중단,10~20초,스피커 파손,43,59.71
B,중단,20~30초,스피커 파손,47,61.04
C,상단,5~10초,정상,15,75.51
A,중단,10~20초,정상,9,83.13
B,중단,5~10초,칩 파손,77,0
A,중단,5~10초,칩 파손,0,0
A,중단,10~20초,스피커 파손,23,62.35
D,하단,10~20초,칩 파손,36,0
D,상단,20~30초,스피커 파손,95,54.77
A,상단,20~30초,스피커 파손,16,56.02
D,하단,20~30초,정상,35,71.61
D,하단,5~10초,스피커 파손,32,56.63
D,하단,5~10초,스피커 파손,55,58.46
B,상단,10~20초,칩 파손,34,0
A,중단,20~30초,하단 단자 손상,27,32.2
B,중단,5~10초,정상,27,83.13
B,상단,10~20초,정상,50,77.98
C,상단,5~10초,하단 단자 손상,46,31.18
D,하단,10~20초,정상,52,76.33
A,중단,5~10초,정상,88,89.44
A,상단,10~20초,하단 단자 손상,38,30.85
B,중단,20~30초,하단 단자 손상,64,32.55
B,중단,10~20초,정상,82,85.79
B,중단,5~10초,정상,100,87.6
B,상단,10~20초,정상,73,79.6
D,상단,5~10초,하단 단자 손상,7,29.23
A,하단,5~10초,정상,29,81.38
B,하단,10~20초,스피커 파손,59,60.43
D,중단,5~10초,하단 단자 손상,37,31.5
B,하단,5~10초,하단 단자 손상,87,33.59
D,하단,5~10초,칩 파손,95,0
D,상단,20~30초,정상,54,71.54
C,하단,20~30초,정상,30,74
C,중단,20~30초,칩 파손,60,0
C,하단,10~20초,칩 파손,27,0
A,상단,5~10초,칩 파손,68,0
D,하단,20~30초,하단 단자 손상,34,28.65
C,상단,10~20초,정상,67,76.33
A,중단,20~30초,정상,35,80.5
A,상단,10~20초,하단 단자 손상,45,31.85
C,중단,10~20초,정상,31,79.7
D,중단,20~30초,칩 파손,49,0
D,중단,5~10초,칩 파손,50,0
C,하단,10~20초,하단 단자 손상,8,30.57
B,중단,10~20초,칩 파손,44,0
B,중단,10~20초,정상,77,85.79
A,중단,20~30초,스피커 파손,44,62.33
C,하단,10~20초,정상,83,80.52
D,하단,10~20초,하단 단자 손상,9,29.58
C,상단,10~20초,스피커 파손,56,57.25
D,중단,10~20초,칩 파손,68,0
A,중단,5~10초,스피커 파손,16,63.66
B,하단,5~10초,칩 파손,100,0
D,상단,5~10초,하단 단자 손상,40,30.17
B,중단,20~30초,칩 파손,38,0
C,하단,20~30초,스피커 파손,52,57.29
A,상단,10~20초,하단 단자 손상,55,31.85
D,상단,5~10초,정상,13,73.07
B,상단,10~20초,스피커 파손,2,56.65
C,상단,20~30초,스피커 파손,43,55.44
C,중단,10~20초,스피커 파손,24,59.78
D,상단,10~20초,하단 단자 손상,41,29.55
B,중단,10~20초,정상,36,81.41
D,중단,20~30초,스피커 파손,57,57.83
D,상단,5~10초,스피커 파손,96,57.75
A,중단,20~30초,정상,34,80.5
D,중단,10~20초,스피커 파손,36,57.85
B,중단,5~10초,스피커 파손,9,62.35
A,하단,10~20초,칩 파손,51,0
A,하단,20~30초,스피커 파손,22,57.89
A,중단,20~30초,정상,78,84.83
B,중단,5~10초,정상,22,83.13
A,중단,20~30초,정상,32,80.5
D,중단,5~10초,칩 파손,23,0
B,하단,5~10초,스피커 파손,59,61.7
D,상단,10~20초,스피커 파손,11,53.67
D,중단,10~20초,하단 단자 손상,38,30.85
A,하단,20~30초,칩 파손,95,0
B,중단,10~20초,정상,51,84.04
C,하단,20~30초,칩 파손,69,0
B,상단,5~10초,칩 파손,14,0
B,상단,20~30초,하단 단자 손상,73,30.83
C,상단,5~10초,정상,23,75.51
A,하단,5~10초,칩 파손,76,0
D,중단,10~20초,정상,36,77.13
B,하단,20~30초,칩 파손,99,0
A,상단,5~10초,스피커 파손,32,59.06
B,상단,20~30초,하단 단자 손상,71,30.83
B,하단,5~10초,정상,42,82.27
C,상단,20~30초,칩 파손,74,0
C,하단,10~20초,정상,27,76.41
D,상단,10~20초,칩 파손,65,0
A,중단,5~10초,하단 단자 손상,79,35.78
C,하단,20~30초,정상,53,76.39
C,하단,20~30초,정상,9,74
A,상단,5~10초,하단 단자 손상,19,31.5
A,중단,5~10초,스피커 파손,67,65.71
B,상단,10~20초,정상,0,75.54
D,중단,20~30초,하단 단자 손상,50,30.84
C,중단,5~10초,정상,67,84
D,중단,20~30초,칩 파손,97,0
B,하단,20~30초,스피커 파손,5,56.69
C,상단,20~30초,정상,66,73.92
A,중단,20~30초,스피커 파손,4,60.38
A,상단,20~30초,정상,80,78.71
D,중단,5~10초,스피커 파손,3,59.06
C,중단,20~30초,칩 파손,84,0
D,상단,5~10초,칩 파손,75,0
C,하단,5~10초,정상,44,80.54
A,상단,10~20초,정상,35,77.13
A,하단,10~20초,하단 단자 손상,6,31.88
C,상단,5~10초,칩 파손,25,0
A,상단,5~10초,스피커 파손,59,60.97
C,하단,10~20초,하단 단자 손상,38,30.57
C,하단,10~20초,정상,45,78.88
D,하단,20~30초,스피커 파손,64,55.44
C,상단,20~30초,스피커 파손,38,53.71
C,상단,20~30초,스피커 파손,71,56.6
C,중단,5~10초,스피커 파손,38,61.03
B,하단,20~30초,정상,37,75.59
A,중단,10~20초,하단 단자 손상,79,35.04
C,중단,20~30초,하단 단자 손상,18,30.87
C,하단,5~10초,하단 단자 손상,15,31.21
C,중단,5~10초,스피커 파손,25,61.03
C,중단,5~10초,하단 단자 손상,41,33.6
B,중단,20~30초,칩 파손,88,0
B,상단,10~20초,스피커 파손,90,59.7
C,하단,10~20초,칩 파손,6,0
C,상단,10~20초,스피커 파손,92,58.44
B,상단,5~10초,칩 파손,91,0
D,하단,20~30초,하단 단자 손상,47,29.57
B,상단,10~20초,스피커 파손,17,56.65
A,하단,5~10초,스피커 파손,68,63
B,상단,10~20초,스피커 파손,19,56.65
B,상단,10~20초,칩 파손,86,0
A,상단,5~10초,스피커 파손,38,59.06
A,중단,5~10초,칩 파손,63,0
A,상단,5~10초,정상,72,82.99
A,중단,20~30초,정상,20,80.5
D,상단,5~10초,하단 단자 손상,14,29.23
D,중단,10~20초,정상,26,77.13
D,하단,5~10초,스피커 파손,81,59.67
A,하단,5~10초,정상,11,81.38
D,중단,5~10초,정상,61,81.29
B,중단,20~30초,칩 파손,35,0
A,하단,20~30초,하단 단자 손상,52,31.87
C,중단,10~20초,칩 파손,60,0
B,하단,5~10초,칩 파손,88,0
A,상단,5~10초,하단 단자 손상,39,31.5
C,상단,5~10초,하단 단자 손상,76,31.83
D,상단,10~20초,하단 단자 손상,3,28.63
A,상단,5~10초,칩 파손,99,0
C,상단,5~10초,정상,95,79.57
C,중단,10~20초,스피커 파손,78,62.99
D,하단,20~30초,하단 단자 손상,84,30.19
A,중단,10~20초,정상,59,85.81
B,중단,5~10초,하단 단자 손상,22,33.25
A,하단,20~30초,정상,38,77.18
B,하단,10~20초,정상,17,78.06
A,중단,20~30초,스피커 파손,19,60.38
C,하단,20~30초,정상,85,77.98
C,상단,5~10초,칩 파손,36,0
D,상단,5~10초,칩 파손,83,0
D,하단,10~20초,정상,82,77.92
C,상단,5~10초,하단 단자 손상,8,30.2
C,중단,10~20초,스피커 파손,64,61.7
D,하단,5~10초,스피커 파손,86,59.67
C,상단,5~10초,하단 단자 손상,86,31.83
C,상단,10~20초,스피커 파손,47,57.25
D,중단,20~30초,칩 파손,38,0
D,중단,10~20초,정상,38,77.13
B,하단,20~30초,정상,98,79.66
D,중단,10~20초,정상,11,77.13
D,상단,20~30초,칩 파손,78,0
A,중단,10~20초,정상,27,83.13
B,중단,5~10초,정상,18,83.13
C,상단,5~10초,정상,74,79.57
A,중단,10~20초,하단 단자 손상,54,34.32
B,하단,10~20초,정상,55,80.58
B,중단,20~30초,스피커 파손,19,59.13
A,상단,5~10초,정상,76,82.99
D,중단,5~10초,칩 파손,82,0
A,하단,10~20초,칩 파손,94,0
A,상단,20~30초,스피커 파손,32,56.02
B,하단,20~30초,칩 파손,85,0
B,하단,5~10초,스피커 파손,4,59.78
B,하단,10~20초,스피커 파손,81,61.69
A,상단,20~30초,스피커 파손,96,59.03
C,상단,20~30초,칩 파손,48,0
C,중단,20~30초,스피커 파손,11,57.89
B,중단,20~30초,칩 파손,88,0
D,중단,5~10초,하단 단자 손상,86,33.19
D,중단,20~30초,칩 파손,74,0
B,하단,5~10초,하단 단자 손상,82,33.59
A,하단,20~30초,정상,0,77.18
C,하단,20~30초,하단 단자 손상,27,29.6
A,하단,5~10초,칩 파손,72,0
C,하단,10~20초,하단 단자 손상,31,30.57
B,중단,5~10초,스피커 파손,38,62.35
D,상단,20~30초,스피커 파손,81,54.77
B,하단,5~10초,스피커 파손,38,59.78
B,중단,5~10초,정상,78,87.6
C,중단,5~10초,스피커 파손,78,64.32
C,상단,20~30초,스피커 파손,80,56.6
D,하단,5~10초,스피커 파손,32,56.63
D,중단,10~20초,정상,67,79.62
C,하단,20~30초,칩 파손,31,0
D,중단,5~10초,하단 단자 손상,50,32.52
D,중단,20~30초,스피커 파손,13,56.02
D,하단,5~10초,하단 단자 손상,100,31.83
A,상단,10~20초,하단 단자 손상,5,30.85
A,하단,10~20초,정상,50,82.27
B,상단,20~30초,칩 파손,82,0
B,중단,20~30초,정상,57,81.39
A,하단,20~30초,정상,44,79.67
B,상단,10~20초,스피커 파손,59,58.48
B,중단,20~30초,스피커 파손,93,62.31
A,하단,5~10초,정상,68,84
C,상단,10~20초,정상,81,77.92
B,하단,20~30초,칩 파손,85,0
D,중단,20~30초,하단 단자 손상,94,31.48
B,하단,5~10초,하단 단자 손상,80,33.59
D,하단,10~20초,하단 단자 손상,34,29.58
C,중단,5~10초,정상,87,85.75
C,중단,10~20초,정상,13,79.7
A,하단,10~20초,칩 파손,98,0
A,중단,5~10초,하단 단자 손상,17,33.95
C,하단,20~30초,하단 단자 손상,44,30.56
D,상단,10~20초,스피커 파손,48,55.4
D,상단,5~10초,스피커 파손,20,54.8
B,하단,20~30초,스피커 파손,25,56.69
C,상단,20~30초,스피커 파손,22,53.71
A,중단,5~10초,하단 단자 손상,13,33.95
D,하단,20~30초,스피커 파손,66,55.44
D,상단,20~30초,정상,63,71.54
A,상단,20~30초,칩 파손,9,0
D,하단,10~20초,스피커 파손,50,57.25
A,상단,10~20초,정상,13,77.13
C,하단,5~10초,스피커 파손,99,61.66
B,중단,20~30초,하단 단자 손상,72,33.23
C,하단,5~10초,칩 파손,96,0
C,중단,10~20초,하단 단자 손상,76,33.59
A,하단,20~30초,스피커 파손,65,59.76
C,하단,10~20초,정상,47,78.88
D,중단,10~20초,하단 단자 손상,52,31.85
B,상단,10~20초,정상,99,79.6
B,상단,10~20초,하단 단자 손상,65,31.19
A,하단,10~20초,스피커 파손,100,62.99
D,상단,5~10초,스피커 파손,95,57.75
B,하단,20~30초,정상,6,75.59
D,상단,10~20초,칩 파손,63,0
A,하단,10~20초,스피커 파손,42,61.7
B,하단,20~30초,칩 파손,45,0
D,하단,20~30초,정상,68,73.92
A,상단,10~20초,정상,31,77.13
D,중단,5~10초,칩 파손,75,0
C,하단,10~20초,스피커 파손,95,60.39
A,하단,20~30초,정상,32,77.18
B,상단,10~20초,스피커 파손,88,59.7
B,중단,5~10초,하단 단자 손상,27,33.25
A,하단,20~30초,하단 단자 손상,97,32.53
C,중단,5~10초,칩 파손,40,0
D,중단,5~10초,하단 단자 손상,94,33.19
D,하단,5~10초,칩 파손,36,0
D,상단,10~20초,스피커 파손,9,53.67
C,중단,5~10초,칩 파손,74,0
D,중단,5~10초,칩 파손,21,0
C,상단,10~20초,정상,70,77.92
B,중단,10~20초,스피커 파손,33,61.06
D,하단,20~30초,정상,1,71.61
B,중단,10~20초,하단 단자 손상,98,34.32
B,하단,10~20초,스피커 파손,80,61.69
C,하단,5~10초,정상,18,78.02
D,하단,20~30초,정상,92,75.46
B,중단,10~20초,칩 파손,98,0
D,중단,5~10초,정상,73,82.99
B,중단,5~10초,하단 단자 손상,70,35.04
B,상단,20~30초,하단 단자 손상,90,30.83
C,상단,5~10초,칩 파손,32,0
A,상단,20~30초,칩 파손,32,0
A,상단,20~30초,하단 단자 손상,55,30.84
D,중단,20~30초,정상,38,74.69
C,상단,5~10초,정상,63,77.94
A,하단,20~30초,하단 단자 손상,37,30.87
B,하단,5~10초,스피커 파손,66,61.7
A,하단,20~30초,스피커 파손,13,57.89
D,하단,10~20초,스피커 파손,60,57.25
C,상단,10~20초,스피커 파손,30,55.46
C,중단,5~10초,칩 파손,35,0
D,상단,20~30초,하단 단자 손상,24,27.72
B,중단,5~10초,하단 단자 손상,9,33.25
A,상단,10~20초,하단 단자 손상,36,30.85
A,중단,20~30초,정상,68,83.1
C,상단,5~10초,스피커 파손,1,56.63
D,하단,5~10초,칩 파손,58,0
D,하단,10~20초,하단 단자 손상,74,31.17
D,하단,10~20초,스피커 파손,42,57.25
C,중단,10~20초,정상,19,79.7
B,중단,10~20초,정상,36,81.41
A,상단,5~10초,스피커 파손,44,60.97
A,중단,10~20초,스피커 파손,14,62.35
A,상단,20~30초,정상,2,74.69
D,상단,10~20초,스피커 파손,36,53.67
A,하단,5~10초,칩 파손,76,0
B,중단,5~10초,스피커 파손,47,64.36
B,중단,20~30초,칩 파손,11,0
C,중단,5~10초,칩 파손,53,0
D,상단,5~10초,하단 단자 손상,82,30.8
D,중단,10~20초,칩 파손,91,0
B,하단,5~10초,하단 단자 손상,78,33.59
D,중단,5~10초,하단 단자 손상,65,32.52
D,중단,10~20초,하단 단자 손상,30,30.85
A,중단,5~10초,하단 단자 손상,81,35.78
A,하단,5~10초,하단 단자 손상,92,34.3
C,하단,5~10초,칩 파손,77,0
D,상단,10~20초,하단 단자 손상,80,30.16
B,상단,10~20초,하단 단자 손상,48,31.19
B,상단,5~10초,스피커 파손,5,57.85
D,중단,5~10초,칩 파손,9,0
A,중단,5~10초,정상,0,84.88
D,중단,10~20초,칩 파손,18,0
A,하단,20~30초,스피커 파손,42,59.76
D,중단,5~10초,칩 파손,21,0
C,중단,10~20초,정상,72,83.99
C,상단,10~20초,스피커 파손,47,57.25
D,중단,20~30초,하단 단자 손상,66,30.84
C,하단,20~30초,하단 단자 손상,83,31.19
B,중단,20~30초,하단 단자 손상,76,33.23
A,하단,10~20초,칩 파손,41,0
B,하단,20~30초,칩 파손,0,0
B,중단,20~30초,칩 파손,93,0
B,상단,20~30초,칩 파손,4,0
A,중단,10~20초,정상,43,85.81
B,중단,20~30초,하단 단자 손상,50,32.55
A,상단,20~30초,칩 파손,52,0
D,중단,20~30초,칩 파손,20,0
C,중단,5~10초,정상,63,84
C,중단,5~10초,칩 파손,5,0
A,중단,10~20초,칩 파손,7,0
A,하단,5~10초,칩 파손,75,0
A,상단,5~10초,정상,63,81.29


답변의 형식은 다음과 같음.
수리 확률이 70%이상이면 수리를 하라고해. 69이하면 수리를 하지말라고해 그리고 70~75% 구간은 가열을 10~15초 권장을하고 76~80%는 15초에서 20초 권장, 81~90%는 20~25초 91~100%구간은 20~25초 권장한다고 확률에 해당될 때만 한줄로 써. 그리고 답변 형식은 다음 조건에 해당되기에 수리 확률은 몇이고 따라서 수리를 권장하지 않음. 그리고 F1 score로 표현해줘
